DIALOGUE_ID,STEP_ID,SPEAKER,UTTERANCE,INTENT-SLOT,SENTIMENT
1,1,User,good morning,greeting(),neutral
1,1,Agent,hello what can i help you with today,request(),neutral
1,2,User,i'd like to book a table with italian food,restaurant(food=italian),neutral
1,2,Agent,i'm on it,inform(),neutral
1,3,User,<SILENCE>,silence(),neutral
1,3,Agent,where should it be,request(location),neutral
1,4,User,in paris,inform(location=paris),neutral
1,4,Agent,how many people would be in your party,request(people),neutral
1,5,User,for six people please,inform(people=six),neutral
1,5,Agent,which price range are looking for,request(price),neutral
1,6,User,in a cheap price range please,inform(price=cheap),neutral
1,6,Agent,What category restaurant are you looking for,request(category),neutral
1,7,User,one star,inform(category=one),neutral
1,7,Agent,ok let me look into some options for you,inform(),neutral
1,8,User,<SILENCE>,silence(),neutral
1,8,Agent,api_call italian paris six cheap,api_call(),neutral
1,9,User,actually i would prefer for two people,update(people=two),neutral
1,9,Agent,sure is there anything else to update,else(),neutral
1,10,User,instead could it be in madrid,update(location=madrid),neutral
1,10,Agent,sure is there anything else to update,else(),neutral
1,11,User,instead could it be with spanish food,update(food=spanish),neutral
1,11,Agent,sure is there anything else to update,else(),neutral
1,12,User,no,inform(NO),neutral
1,12,Agent,ok let me look into some options for you,inform(),neutral
1,13,User,<SILENCE>,silence(),neutral
1,13,Agent,api_call spanish madrid two cheap,api_call(),neutral
1,14,User,<SILENCE>,silence(),neutral
1,14,Agent,what do you think of this option: resto_madrid_cheap_spanish_8stars,option(),neutral
1,15,User,no this does not work for me,inform(NO),negative
1,15,Agent,sure let me find an other option for you,inform(),neutral
1,16,User,<SILENCE>,silence(),neutral
1,16,Agent,what do you think of this option: resto_madrid_cheap_spanish_6stars,option(),neutral
1,17,User,no do you have something else,inform(NO),negative
1,17,Agent,sure let me find an other option for you,inform(),neutral
1,18,User,<SILENCE>,silence(),neutral
1,18,Agent,what do you think of this option: resto_madrid_cheap_spanish_1stars,option(),neutral
1,19,User,it's perfect,inform(YES),positive
1,19,Agent,great let me do the reservation,inform(done),positive
1,20,User,may i have the phone number of the restaurant resto_madrid_cheap_spanish_1stars,phone(res_name=resto_madrid_cheap_spanish_1stars),neutral
1,20,Agent,here it is resto_madrid_cheap_spanish_1stars_phone,inform(done),neutral
1,21,User,thanks,greeting(),positive
1,21,Agent,is there anything i can help you with,else(),neutral
1,22,User,no thank you,inform(NO),neutral
1,22,Agent,you're welcome,greeting(),neutral
,,,,,
2,1,User,hello,greeting(),neutral
2,1,Agent,hello what can i help you with today,request(),neutral
2,2,User,may i have a table in paris for six in a cheap price range,"restaurant(location=paris,people=six,price=cheap)",neutral
2,2,Agent,i'm on it,inform(),neutral
2,3,User,<SILENCE>,silence(),neutral
2,3,Agent,any preference on a type of cuisine,request(),neutral
2,4,User,i love indian food,inform(food=Italian),neutral
2,4,Agent,What category restaurant are you looking for,request(category),neutral
2,5,User,one star,inform(category=one),neutral
2,5,Agent,ok let me look into some options for you,inform(),neutral
2,6,User,<SILENCE>,silence(),neutral
2,6,Agent,api_call indian paris six cheap,api_call(),neutral
2,7,User,actually i would prefer in bombay,update(location=bombay),neutral
2,7,Agent,sure is there anything else to update,else(),neutral
2,8,User,actually i would prefer for four people,update(people=four),neutral
2,8,Agent,sure is there anything else to update,else(),neutral
2,9,User,actually i would prefer with french cuisine,update(food=french),neutral
2,9,Agent,sure is there anything else to update,else(),neutral
2,10,User,no,inform(NO),neutral
2,10,Agent,ok let me look into some options for you,inform(),neutral
2,11,User,<SILENCE>,silence(),neutral
2,11,Agent,api_call french bombay four cheap,api_call(),neutral
2,12,User,<SILENCE>,silence(),neutral
2,12,Agent,what do you think of this option: resto_bombay_cheap_french_8stars,option(),neutral
2,13,User,no i don't like that,inform(NO),negative
2,13,Agent,sure let me find an other option for you,inform(),neutral
2,14,User,<SILENCE>,silence(),neutral
2,14,Agent,what do you think of this option: resto_bombay_cheap_french_3stars,option(),neutral
2,15,User,no i don't like that,inform(NO),negative
2,15,Agent,sure let me find an other option for you,inform(),neutral
2,16,User,<SILENCE>,silence(),neutral
2,16,Agent,what do you think of this option: resto_bombay_cheap_french_1stars,option(),neutral
2,17,User,i love that,inform(YES),positive
2,17,Agent,great let me do the reservation,inform(done),positive
2,18,User,may i have the phone number of the restaurant resto_bombay_cheap_french_1stars,phone(res_name=resto_bombay_cheap_french_1stars),neutral
2,18,Agent,here it is resto_bombay_cheap_french_1stars_phone,inform(done),neutral
2,19,User,thanks,greeting(),positive
2,19,Agent,is there anything i can help you with,else(),neutral
2,20,User,no thanks,inform(NO),neutral
2,20,Agent,you're welcome,greeting(),neutral
,,,,,
3,1,User,hi,greeting(),neutral
3,1,Agent,hello what can i help you with today,greeting(),neutral
3,2,User,i'd like to book a table with indian cuisine in a moderate price range for two people,"restaurant(food=indian,price=moderate,people=two)",neutral
3,2,Agent,i'm on it,inform(),neutral
3,3,User,<SILENCE>,silence(),neutral
3,3,Agent,where should it be,request(location),neutral
3,4,User,bombay please,inform(location=bombay),neutral
3,4,Agent,What category restaurant are you looking for,request(category),neutral
3,5,User,one star,inform(category=one),neutral
3,5,Agent,ok let me look into some options for you,inform(),neutral
3,6,User,<SILENCE>,silence(),neutral
3,6,Agent,api_call indian bombay two moderate,api_call(),neutral
3,7,User,actually i would prefer for four people,update(people=four),neutral
3,7,Agent,sure is there anything else to update,else(),neutral
3,8,User,actually i would prefer with french food,update(food=french),neutral
3,8,Agent,sure is there anything else to update,else(),neutral
3,9,User,actually i would prefer in a cheap price range,update(price=cheap),neutral
3,9,Agent,sure is there anything else to update,else(),neutral
3,10,User,no,inform(NO),neutral
3,10,Agent,ok let me look into some options for you,inform(),neutral
3,11,User,<SILENCE>,silence(),neutral
3,11,Agent,api_call french bombay four cheap,api_call(),neutral
3,12,User,<SILENCE>,silence(),neutral
3,12,Agent,what do you think of this option: resto_bombay_cheap_french_8stars,option(),neutral
3,13,User,no do you have something else,inform(NO),neutral
3,13,Agent,sure let me find an other option for you,inform(),neutral
3,14,User,<SILENCE>,silence(),neutral
3,14,Agent,what do you think of this option: resto_bombay_cheap_french_3stars,option(),neutral
3,15,User,no i don't like that,inform(NO),negative
3,15,Agent,sure let me find an other option for you,inform(),neutral
3,16,User,<SILENCE>,silence(),neutral
3,16,Agent,what do you think of this option: resto_bombay_cheap_french_1stars,option(),neutral
3,17,User,let's do it,inform(YES),positive
3,17,Agent,great let me do the reservation,inform(done),positive
3,18,User,may i have the address of the restaurant resto_bombay_cheap_french_1stars,address(res_name=resto_bombay_cheap_french_1stars),neutral
3,18,Agent,here it is resto_bombay_cheap_french_1stars_address,inform(done),neutral
3,19,User,thank you,greeting(),positive
3,19,Agent,is there anything i can help you with,else(),neutral
3,20,User,no thanks,inform(NO),neutral
3,20,Agent,you're welcome,greeting(),neutral
,,,,,
4,1,User,good morning,greeting(),neutral
4,1,Agent,hello what can i help you with today,greeting(),neutral
4,2,User,i'd like to book a table for two in london in a moderate price range,"restaurant(location=london,people=2,price=moderate)",neutral
4,2,Agent,i'm on it,inform(),neutral
4,3,User,<SILENCE>,silence(),neutral
4,3,Agent,any preference on a type of cuisine,request(food),neutral
4,4,User,with spanish cuisine,inform(food=spanish),neutral
4,4,Agent,What category restaurant are you looking for,request(category),neutral
4,5,User,five star,inform(category=five),neutral
4,5,Agent,ok let me look into some options for you,inform(),neutral
4,6,User,<SILENCE>,silence(),neutral
4,6,Agent,api_call spanish london two moderate,api_call(),neutral
4,7,User,instead could it be with british food,update(food=british),neutral
4,7,Agent,sure is there anything else to update,else(),neutral
4,8,User,no,inform(NO),neutral
4,8,Agent,ok let me look into some options for you,inform(),neutral
4,9,User,<SILENCE>,silence(),neutral
4,9,Agent,api_call british london two moderate,api_call(),neutral
4,10,User,<SILENCE>,silence(),neutral
4,10,Agent,what do you think of this option: resto_london_moderate_british_5stars,option(),neutral
4,11,User,i love that,inform(YES),positive
4,11,Agent,great let me do the reservation,inform(done),positive
4,12,User,what is the phone number of the restaurant resto_london_moderate_british_5stars,phone(res_name=resto_london_moderate_british_5stars),neutral
4,12,Agent,here it is resto_london_moderate_british_5stars_phone,inform(done),neutral
4,13,User,thank you,greeting(),positive
4,13,Agent,is there anything i can help you with,else(),neutral
4,14,User,no thank you,inform(NO),neutral
4,14,Agent,you're welcome,greeting(),neutral
,,,,,
5,1,User,hi,greeting(),neutral
5,1,Agent,hello what can i help you with today,greeting(),neutral
5,2,User,can you make a restaurant reservation in london in a expensive price range with british food,"restaurant(location=london,price=expensive,food=british)",neutral
5,2,Agent,i'm on it,inform(),neutral
5,3,User,<SILENCE>,silence(),neutral
5,3,Agent,how many people would be in your party,request(people),neutral
5,4,User,for six people please,inform(people=6),neutral
5,4,Agent,What category restaurant are you looking for,request(category),neutral
5,5,User,one star,inform(category=one),neutral
5,5,Agent,ok let me look into some options for you,inform(),neutral
5,6,User,<SILENCE>,silence(),neutral
5,6,Agent,api_call british london six expensive,api_call(),neutral
5,7,User,instead could it be with indian cuisine,update(food=Indian),neutral
5,7,Agent,sure is there anything else to update,else(),neutral
5,8,User,instead could it be in madrid,update(location=madrid),neutral
5,8,Agent,sure is there anything else to update,else(),neutral
5,9,User,instead could it be for two,update(people=two),neutral
5,9,Agent,sure is there anything else to update,else(),neutral
5,10,User,no,inform(NO),neutral
5,10,Agent,ok let me look into some options for you,inform(),neutral
5,11,User,<SILENCE>,silence(),neutral
5,11,Agent,api_call indian madrid two expensive,api_call(),neutral
5,12,User,<SILENCE>,silence(),neutral
5,12,Agent,what do you think of this option: resto_madrid_expensive_indian_7stars,option(),neutral
5,13,User,no do you have something else,inform(NO),negative
5,13,Agent,sure let me find an other option for you,inform(),neutral
5,14,User,<SILENCE>,silence(),neutral
5,14,Agent,what do you think of this option: resto_madrid_expensive_indian_5stars,option(),neutral
5,15,User,no i don't like that,inform(NO),negative
5,15,Agent,sure let me find an other option for you,inform(),neutral
5,16,User,<SILENCE>,silence(),neutral
5,16,Agent,what do you think of this option: resto_madrid_expensive_indian_4stars,option(),neutral
5,17,User,no i don't like that,inform(NO),negative
5,17,Agent,sure let me find an other option for you,inform(),neutral
5,18,User,<SILENCE>,silence(),neutral
5,18,Agent,what do you think of this option: resto_madrid_expensive_indian_1stars,option(),neutral
5,19,User,that looks great,inform(YES),postive
5,19,Agent,great let me do the reservation,inform(done),positive
5,20,User,do you have resto_madrid_expensive_indian_1stars phone number,phone(res_name=resto_madrid_expensive_indian_1stars),neutral
5,20,Agent,here it is resto_madrid_expensive_indian_1stars_phone,inform(done),neutral
5,21,User,may i have the address of the restaurant resto_madrid_expensive_indian_1stars,address(res_name=resto_madrid_expensive_indian_1stars),neutral
5,21,Agent,here it is resto_madrid_expensive_indian_1stars_address,inform(done),neutral
5,22,User,you rock,inform(),positive
5,22,Agent,is there anything i can help you with,else(),neutral
5,23,User,no thank you,inform(NO),neutral
5,23,Agent,you're welcome,greeting(),neutral
,,,,,
6,1,User,hello,greeting(),neutral
6,1,Agent,hello what can i help you with today,greeting(),neutral
6,2,User,may i have a table in a cheap price range for two,"restaurant(people=two,price=cheap)",neutral
6,2,Agent,i'm on it,inform(),neutral
6,3,User,<SILENCE>,silence(),neutral
6,3,Agent,any preference on a type of cuisine,request(cuisine),neutral
6,4,User,with spanish cuisine,inform(food=spanish),neutral
6,4,Agent,where should it be,request(place),neutral
6,5,User,london please,inform(place=london),neutral
6,5,Agent,What category restaurant are you looking for,request(category),neutral
6,6,User,three star,inform(category=three),neutral
6,6,Agent,ok let me look into some options for you,inform(),neutral
6,7,User,<SILENCE>,silence(),neutral
6,7,Agent,api_call spanish london two cheap,api_call(),neutral
6,8,User,instead could it be with italian food,update(food=italian),neutral
